date,company,price
2019-05-22,SNAP,11.3100004196167
2019-05-22,ETSY,64.01000213623047
2019-05-23,FB,180.8699951171875
2019-05-23,TWTR,37.18999862670898
2019-05-23,PINS,23.799999237060547
2019-05-23,SNAP,11.119999885559082
2019-05-23,ETSY,63.31999969482422
2019-05-24,FB,181.05999755859372
2019-05-24,TWTR,37.40999984741211
2019-05-24,PINS,25.5
2019-05-24,SNAP,11.5600004196167
2019-05-24,ETSY,64.70999908447266
2019-05-28,FB,184.30999755859372
2019-05-28,TWTR,37.290000915527344
2019-05-28,PINS,25.799999237060547
2019-05-28,SNAP,11.56999969482422
2019-05-28,ETSY,65.02999877929688
2019-05-29,FB,182.19000244140625
2019-05-29,TWTR,36.84999847412109
2019-05-29,PINS,25.57999992370605
2019-05-29,SNAP,11.68000030517578
2019-05-29,ETSY,62.130001068115234
2019-05-30,FB,183.00999450683597
2019-05-30,TWTR,37.13999938964844
2019-05-30,PINS,25.51000022888184
2019-05-30,SNAP,11.989999771118164
2019-05-30,ETSY,62.95000076293945
2019-05-31,FB,177.47000122070312
2019-05-31,TWTR,36.43999862670898
2019-05-31,PINS,24.920000076293945
2019-05-31,SNAP,11.890000343322754
2019-05-31,ETSY,62.310001373291016
2019-06-03,FB,164.14999389648438
2019-06-03,TWTR,34.43000030517578
2019-06-03,PINS,24.399999618530277
2019-06-03,SNAP,11.6899995803833
2019-06-03,ETSY,61.06999969482422
2019-06-04,FB,167.5
2019-06-04,TWTR,36.09999847412109
2019-06-04,PINS,24.200000762939453
2019-06-04,SNAP,12.949999809265137
2019-06-04,ETSY,61.25
2019-06-05,FB,168.1699981689453
2019-06-05,TWTR,36.33000183105469
2019-06-05,PINS,24.940000534057617
2019-06-05,SNAP,12.9399995803833
2019-06-05,ETSY,61.4900016784668
2019-06-06,FB,168.3300018310547
2019-06-06,TWTR,36.59000015258789
2019-06-06,PINS,25.809999465942383
2019-06-06,SNAP,13.81999969482422
2019-06-06,ETSY,61.959999084472656
2019-06-07,FB,173.35000610351562
2019-06-07,TWTR,37.93000030517578
2019-06-07,PINS,27.61000061035156
2019-06-07,SNAP,13.869999885559082
2019-06-07,ETSY,63.88999938964844
2019-06-10,FB,174.82000732421875
2019-06-10,TWTR,37.63999938964844
2019-06-10,PINS,27.940000534057617
